Strain,Genotype,Medium,Dilution,Measurement_Type,Time,Measurement_ID,Original_ID,Value,Original_Value,Unit,Original_Unit,Error,Original_Error,Source
BW25113,WT,GLC,NA,consumption_rate,NA,qGlc,qGLC,2.86,2.86,mmol/h/g,mmol/g-dry cell weight/h,NA,NA,"(Ishii, 2007)"
BW25113,dgalM,GLC,NA,consumption_rate,NA,qGlc,qGLC,3.04,3.04,mmol/h/g,mmol/g-dry cell weight/h,NA,NA,
BW25113,dglk,GLC,NA,consumption_rate,NA,qGlc,qGLC,3.14,3.14,mmol/h/g,mmol/g-dry cell weight/h,NA,NA,
BW25113,dpgm,GLC,NA,consumption_rate,NA,qGlc,qGLC,3.06,3.06,mmol/h/g,mmol/g-dry cell weight/h,NA,NA,
BW25113,dpgi,GLC,NA,consumption_rate,NA,qGlc,qGLC,2.73,2.73,mmol/h/g,mmol/g-dry cell weight/h,NA,NA,
BW25113,dpfkA,GLC,NA,consumption_rate,NA,qGlc,qGLC,2.72,2.72,mmol/h/g,mmol/g-dry cell weight/h,NA,NA,
BW25113,dpfkB,GLC,NA,consumption_rate,NA,qGlc,qGLC,2.84,2.84,mmol/h/g,mmol/g-dry cell weight/h,NA,NA,
BW25113,dfbp,GLC,NA,consumption_rate,NA,qGlc,qGLC,2.7,2.7,mmol/h/g,mmol/g-dry cell weight/h,NA,NA,
BW25113,dfbaB,GLC,NA,consumption_rate,NA,qGlc,qGLC,2.76,2.76,mmol/h/g,mmol/g-dry cell weight/h,NA,NA,
BW25113,dgapC,GLC,NA,consumption_rate,NA,qGlc,qGLC,2.99,2.99,mmol/h/g,mmol/g-dry cell weight/h,NA,NA,
BW25113,dgpmA,GLC,NA,consumption_rate,NA,qGlc,qGLC,2.7,2.7,mmol/h/g,mmol/g-dry cell weight/h,NA,NA,
BW25113,dgpmB,GLC,NA,consumption_rate,NA,qGlc,qGLC,3.33,3.33,mmol/h/g,mmol/g-dry cell weight/h,NA,NA,
BW25113,dpykA,GLC,NA,consumption_rate,NA,qGlc,qGLC,2.82,2.82,mmol/h/g,mmol/g-dry cell weight/h,NA,NA,
BW25113,dpykF,GLC,NA,consumption_rate,NA,qGlc,qGLC,2.8,2.8,mmol/h/g,mmol/g-dry cell weight/h,NA,NA,
BW25113,dppsA,GLC,NA,consumption_rate,NA,qGlc,qGLC,3,3,mmol/h/g,mmol/g-dry cell weight/h,NA,NA,
BW25113,dzwf,GLC,NA,consumption_rate,NA,qGlc,qGLC,3.18,3.18,mmol/h/g,mmol/g-dry cell weight/h,NA,NA,
BW25113,dpgl,GLC,NA,consumption_rate,NA,qGlc,qGLC,3.36,3.36,mmol/h/g,mmol/g-dry cell weight/h,NA,NA,
BW25113,dgnd,GLC,NA,consumption_rate,NA,qGlc,qGLC,2.92,2.92,mmol/h/g,mmol/g-dry cell weight/h,NA,NA,
BW25113,drpe,GLC,NA,consumption_rate,NA,qGlc,qGLC,3.63,3.63,mmol/h/g,mmol/g-dry cell weight/h,NA,NA,
BW25113,drpiA,GLC,NA,consumption_rate,NA,qGlc,qGLC,3.18,3.18,mmol/h/g,mmol/g-dry cell weight/h,NA,NA,
BW25113,drpiB,GLC,NA,consumption_rate,NA,qGlc,qGLC,4.15,4.15,mmol/h/g,mmol/g-dry cell weight/h,NA,NA,
BW25113,dtktA,GLC,NA,consumption_rate,NA,qGlc,qGLC,4.49,4.49,mmol/h/g,mmol/g-dry cell weight/h,NA,NA,
BW25113,dtktB,GLC,NA,consumption_rate,NA,qGlc,qGLC,2.97,2.97,mmol/h/g,mmol/g-dry cell weight/h,NA,NA,
BW25113,dtalA,GLC,NA,consumption_rate,NA,qGlc,qGLC,2.8,2.8,mmol/h/g,mmol/g-dry cell weight/h,NA,NA,
BW25113,dtalB,GLC,NA,consumption_rate,NA,qGlc,qGLC,2.94,2.94,mmol/h/g,mmol/g-dry cell weight/h,NA,NA,
BW25113,dpgm,GLC,0.2,flux,SS,ACALD,ACALD,0,0,mmol/h/gDW,% of glc uptake,NA,NA,"(Ishii, 2007)"
BW25113,dpgm,GLC,0.2,flux,SS,ACONTa,ACONTa,2.8458,93,mmol/h/gDW,% of glc uptake,NA,NA,"(Ishii, 2007)"
BW25113,dpgm,GLC,0.2,flux,SS,AKGDH,AKGDH,2.2644,74,mmol/h/gDW,% of glc uptake,NA,NA,"(Ishii, 2007)"
BW25113,dpgm,GLC,0.2,flux,SS,CS,CS,2.8458,93,mmol/h/gDW,% of glc uptake,NA,NA,"(Ishii, 2007)"
BW25113,dpgm,GLC,0.2,flux,SS,EX_akg(e),EX_akg(e),0.2448,8,mmol/h/gDW,% of glc uptake,NA,NA,"(Ishii, 2007)"
BW25113,dpgm,GLC,0.2,flux,SS,EX_co2(e),EX_co2(e),9.0576,296,mmol/h/gDW,% of glc uptake,NA,NA,"(Ishii, 2007)"
BW25113,dpgm,GLC,0.2,flux,SS,EX_pyr(e),EX_pyr(e),0.612,20,mmol/h/gDW,% of glc uptake,NA,NA,"(Ishii, 2007)"
BW25113,dpgm,GLC,0.2,flux,SS,FBA,FBA,2.6316,86,mmol/h/gDW,% of glc uptake,NA,NA,"(Ishii, 2007)"
