Strain,Genotype,Medium,Dilution,Measurement_Type,Time,Measurement_ID,Original_ID,Value,Original_Value,Unit,Original_Unit,Error,Original_Error,Source
BW25113,WT,GLC,0.7,flux,SS,PYK,PYK,9.21,9.21,mmol/h/gDW,mmol/g/h,NA,NA,"(Yao, 2011)"
BW25113,WT,GLC,0.2,flux,SS,PDH,PDH,3.88,3.88,mmol/h/gDW,mmol/g/h,NA,NA,"(Yao, 2011)"
BW25113,WT,GLC,0.4,flux,SS,PDH,PDH,4.2,4.2,mmol/h/gDW,mmol/g/h,NA,NA,"(Yao, 2011)"
BW25113,WT,GLC,0.6,flux,SS,PDH,PDH,5.68,5.68,mmol/h/gDW,mmol/g/h,NA,NA,"(Yao, 2011)"
BW25113,WT,GLC,0.7,flux,SS,PDH,PDH,7,7,mmol/h/gDW,mmol/g/h,NA,NA,"(Yao, 2011)"
BW25113,WT,GLC,0.2,flux,SS,PTAr,PTAr+ACKr,0,0,mmol/h/gDW,mmol/g/h,NA,NA,"(Yao, 2011)"
BW25113,WT,GLC,0.4,flux,SS,PTAr,PTAr+ACKr,0.01,0.01,mmol/h/gDW,mmol/g/h,NA,NA,"(Yao, 2011)"
BW25113,WT,GLC,0.6,flux,SS,PTAr,PTAr+ACKr,0.88,0.88,mmol/h/gDW,mmol/g/h,NA,NA,"(Yao, 2011)"
BW25113,WT,GLC,0.7,flux,SS,PTAr,PTAr+ACKr,1.33,1.33,mmol/h/gDW,mmol/g/h,NA,NA,"(Yao, 2011)"
BW25113,WT,GLC,0.2,flux,SS,ACKr,PTAr+ACKr,0,0,mmol/h/gDW,mmol/g/h,NA,NA,"(Yao, 2011)"
BW25113,WT,GLC,0.4,flux,SS,ACKr,PTAr+ACKr,0.01,0.01,mmol/h/gDW,mmol/g/h,NA,NA,"(Yao, 2011)"
BW25113,WT,GLC,0.6,flux,SS,ACKr,PTAr+ACKr,0.88,0.88,mmol/h/gDW,mmol/g/h,NA,NA,"(Yao, 2011)"
BW25113,WT,GLC,0.7,flux,SS,ACKr,PTAr+ACKr,1.33,1.33,mmol/h/gDW,mmol/g/h,NA,NA,"(Yao, 2011)"
BW25113,WT,GLC,0.2,flux,SS,ACt2r,ACt2r,0,0,mmol/h/gDW,mmol/g/h,NA,NA,"(Yao, 2011)"
BW25113,WT,GLC,0.4,flux,SS,ACt2r,ACt2r,0.01,0.01,mmol/h/gDW,mmol/g/h,NA,NA,"(Yao, 2011)"
BW25113,WT,GLC,0.6,flux,SS,ACt2r,ACt2r,0.88,0.88,mmol/h/gDW,mmol/g/h,NA,NA,"(Yao, 2011)"
BW25113,WT,GLC,0.7,flux,SS,ACt2r,ACt2r,1.33,1.33,mmol/h/gDW,mmol/g/h,NA,NA,"(Yao, 2011)"
BW25113,WT,GLC,0.2,flux,SS,PPC,PPC,0.31,0.31,mmol/h/gDW,mmol/g/h,NA,NA,"(Yao, 2011)"
BW25113,WT,GLC,0.4,flux,SS,PPC,PPC,1.35,1.35,mmol/h/gDW,mmol/g/h,NA,NA,"(Yao, 2011)"
BW25113,WT,GLC,0.6,flux,SS,PPC,PPC,2.17,2.17,mmol/h/gDW,mmol/g/h,NA,NA,"(Yao, 2011)"
BW25113,WT,GLC,0.7,flux,SS,PPC,PPC,2.57,2.57,mmol/h/gDW,mmol/g/h,NA,NA,"(Yao, 2011)"
BW25113,WT,GLC,0.2,flux,SS,CS,CS,3.01,3.01,mmol/h/gDW,mmol/g/h,NA,NA,"(Yao, 2011)"
BW25113,WT,GLC,0.4,flux,SS,CS,CS,3.21,3.21,mmol/h/gDW,mmol/g/h,NA,NA,"(Yao, 2011)"
BW25113,WT,GLC,0.6,flux,SS,CS,CS,3.35,3.35,mmol/h/gDW,mmol/g/h,NA,NA,"(Yao, 2011)"
BW25113,WT,GLC,0.7,flux,SS,CS,CS,3.88,3.88,mmol/h/gDW,mmol/g/h,NA,NA,"(Yao, 2011)"
BW25113,WT,GLC,0.2,flux,SS,ACONTa,ACONTa+ACONTb,3.01,3.01,mmol/h/gDW,mmol/g/h,NA,NA,"(Yao, 2011)"
BW25113,WT,GLC,0.4,flux,SS,ACONTa,ACONTa+ACONTb,3.21,3.21,mmol/h/gDW,mmol/g/h,NA,NA,"(Yao, 2011)"
BW25113,WT,GLC,0.6,flux,SS,ACONTa,ACONTa+ACONTb,3.35,3.35,mmol/h/gDW,mmol/g/h,NA,NA,"(Yao, 2011)"
BW25113,WT,GLC,0.7,flux,SS,ACONTa,ACONTa+ACONTb,3.88,3.88,mmol/h/gDW,mmol/g/h,NA,NA,"(Yao, 2011)"
BW25113,WT,GLC,0.2,flux,SS,ACONTb,ACONTa+ACONTb,3.01,3.01,mmol/h/gDW,mmol/g/h,NA,NA,"(Yao, 2011)"
BW25113,WT,GLC,0.4,flux,SS,ACONTb,ACONTa+ACONTb,3.21,3.21,mmol/h/gDW,mmol/g/h,NA,NA,"(Yao, 2011)"
BW25113,WT,GLC,0.6,flux,SS,ACONTb,ACONTa+ACONTb,3.35,3.35,mmol/h/gDW,mmol/g/h,NA,NA,"(Yao, 2011)"
BW25113,WT,GLC,0.7,flux,SS,ACONTb,ACONTa+ACONTb,3.88,3.88,mmol/h/gDW,mmol/g/h,NA,NA,"(Yao, 2011)"
BW25113,WT,GLC,0.2,flux,SS,ICDHyr,ICDHyr,2.64,2.64,mmol/h/gDW,mmol/g/h,NA,NA,"(Yao, 2011)"
BW25113,WT,GLC,0.4,flux,SS,ICDHyr,ICDHyr,3.21,3.21,mmol/h/gDW,mmol/g/h,NA,NA,"(Yao, 2011)"
BW25113,WT,GLC,0.6,flux,SS,ICDHyr,ICDHyr,3.35,3.35,mmol/h/gDW,mmol/g/h,NA,NA,"(Yao, 2011)"
BW25113,WT,GLC,0.7,flux,SS,ICDHyr,ICDHyr,3.88,3.88,mmol/h/gDW,mmol/g/h,NA,NA,"(Yao, 2011)"
BW25113,WT,GLC,0.2,flux,SS,AKGDH,AKGDH,2.32,2.32,mmol/h/gDW,mmol/g/h,NA,NA,"(Yao, 2011)"
BW25113,WT,GLC,0.4,flux,SS,AKGDH,AKGDH,2.58,2.58,mmol/h/gDW,mmol/g/h,NA,NA,"(Yao, 2011)"
BW25113,WT,GLC,0.6,flux,SS,AKGDH,AKGDH,2.43,2.43,mmol/h/gDW,mmol/g/h,NA,NA,"(Yao, 2011)"
BW25113,WT,GLC,0.7,flux,SS,AKGDH,AKGDH,2.79,2.79,mmol/h/gDW,mmol/g/h,NA,NA,"(Yao, 2011)"
