,ID,flux,sample_id,author,BiGG_ID,normalized_flux
0,EX_Biomass,0.19,pykA,Exp_ECC2,EX_Biomass,6.643356643356643
1,EX_4CRSOL_ex,4.237e-05,pykA,Exp_ECC2,EX_4CRSOL_ex,0.0014814685314685316
2,EX_5DRIB_ex,0.00012749000000000001,pykA,Exp_ECC2,EX_5DRIB_ex,0.004457692307692308
3,EX_ac_ex,0.16919984924271347,pykA,Exp_ECC2,EX_ac_ex,5.9160786448501215
4,EX_adp_c,1.9984014443252818e-15,pykA,Exp_ECC2,EX_adp_c,6.987417637500986e-14
5,EX_AMOB_ex,3.7999999999999996e-07,pykA,Exp_ECC2,EX_AMOB_ex,1.3286713286713285e-05
6,EX_ca2_ex,-0.0009889500000000002,pykA,Exp_ECC2,EX_ca2_ex,-0.03457867132867133
7,EX_cl_ex,-0.0009889500000000002,pykA,Exp_ECC2,EX_cl_ex,-0.03457867132867133
8,EX_co2_ex,7.551828318703817,pykA,Exp_ECC2,EX_co2_ex,264.04994121342014
9,EX_coa_c,7.59999999910832e-06,pykA,Exp_ECC2,EX_coa_c,0.0002657342657030881
10,EX_cobalt2_ex,-4.75e-06,pykA,Exp_ECC2,EX_cobalt2_ex,-0.0001660839160839161
11,EX_cu2_ex,-0.00013471,pykA,Exp_ECC2,EX_cu2_ex,-0.00471013986013986
12,EX_etoh_ex,0.1,pykA,Exp_ECC2,EX_etoh_ex,3.4965034965034967
13,EX_fe2_ex,-0.00156807,pykA,Exp_ECC2,EX_fe2_ex,-0.05482762237762238
14,EX_fe3_ex,-0.0014835199999999999,pykA,Exp_ECC2,EX_fe3_ex,-0.05187132867132867
15,EX_foex,0.0,pykA,Exp_ECC2,EX_foex,0.0
16,EX_glc__D_ex,-2.86,pykA,Exp_ECC2,EX_glc__D_ex,-100.0
17,EX_glyc_ex,0.0,pykA,Exp_ECC2,EX_glyc_ex,0.0
18,EX_h_ex,2.4853908329054746,pykA,Exp_ECC2,EX_h_ex,86.9017773743173
19,EX_h2_ex,0.0,pykA,Exp_ECC2,EX_h2_ex,0.0
20,EX_h2o_ex,12.687191542792563,pykA,Exp_ECC2,EX_h2o_ex,443.6080959018379
21,EX_k_ex,-0.037086100000000004,pykA,Exp_ECC2,EX_k_ex,-1.2967167832167834
22,EX_lac_ex,0.13228869548525338,pykA,Exp_ECC2,EX_lac_ex,4.6254788631207475
23,EX_meoh_ex,3.7999999999999996e-07,pykA,Exp_ECC2,EX_meoh_ex,1.3286713286713285e-05
24,EX_mg2_ex,-0.0016482500000000002,pykA,Exp_ECC2,EX_mg2_ex,-0.057631118881118895
25,EX_mn2_ex,-0.00013129,pykA,Exp_ECC2,EX_mn2_ex,-0.004590559440559441
26,EX_mobd_ex,-2.4509999999999997e-05,pykA,Exp_ECC2,EX_mobd_ex,-0.0008569930069930069
27,EX_mqn8_c,0.0,pykA,Exp_ECC2,EX_mqn8_c,0.0
28,EX_MTHTHF_ex,8.512e-05,pykA,Exp_ECC2,EX_MTHTHF_ex,0.0029762237762237767
29,EX_nad_c,-4.884981308350689e-15,pykA,Exp_ECC2,EX_nad_c,-1.708035422500241e-13
30,EX_nadp_c,-8.881784197001252e-16,pykA,Exp_ECC2,EX_nadp_c,-3.105518950000438e-14
31,EX_nh4_ex,-2.052133,pykA,Exp_ECC2,EX_nh4_ex,-71.75290209790211
32,EX_ni2_ex,-6.137e-05,pykA,Exp_ECC2,EX_ni2_ex,-0.002145804195804196
33,EX_o2_ex,-7.15511494074819,pykA,Exp_ECC2,EX_o2_ex,-250.17884408210455
34,EX_pi_c,3.420000009401635e-06,pykA,Exp_ECC2,EX_pi_c,0.00011958041990914808
35,EX_pi_ex,-0.1832569,pykA,Exp_ECC2,EX_pi_ex,-6.407583916083917
36,EX_q8_c,-8.881784197001252e-16,pykA,Exp_ECC2,EX_q8_c,-3.105518950000438e-14
37,EX_so4_ex,-0.0479199,pykA,Exp_ECC2,EX_so4_ex,-1.675520979020979
38,EX_succ_ex,0.21833684408875298,pykA,Exp_ECC2,EX_succ_ex,7.6341553877186366
39,EX_zn2_ex,-6.479e-05,pykA,Exp_ECC2,EX_zn2_ex,-0.0022653846153846153
40,Growth,0.19,pykA,Exp_ECC2,Growth,6.643356643356643
41,ACALD,0.1,pykA,Exp_ECC2,ACALD,3.4965034965034967
42,AcEx,0.16919984924271347,pykA,Exp_ECC2,AcEx,5.9160786448501215
43,ACKr,0.058509649242713485,pykA,Exp_ECC2,ACKr,2.0457919315634085
44,ACONTa,2.316699999999999,pykA,Exp_ECC2,ACONTa,81.00349650349648
45,ACONTb,2.316699999999999,pykA,Exp_ECC2,ACONTb,81.00349650349648
46,AcUp,0.0,pykA,Exp_ECC2,AcUp,0.0
47,ADK1,0.503785,pykA,Exp_ECC2,ADK1,17.61486013986014
48,AKGDH,1.6262119999999993,pykA,Exp_ECC2,AKGDH,56.86055944055942
49,ALCD2x,0.1,pykA,Exp_ECC2,ALCD2x,3.4965034965034967
50,ATPM,0.0,pykA,Exp_ECC2,ATPM,0.0
51,ATPS4rpp,8.483978270521927,pykA,Exp_ECC2,ATPS4rpp,296.64259687139605
52,CO2Ex,7.551828318703817,pykA,Exp_ECC2,CO2Ex,264.04994121342014
53,CO2Up,0.0,pykA,Exp_ECC2,CO2Up,0.0
54,CS,2.316699999999999,pykA,Exp_ECC2,CS,81.00349650349648
55,CYTBO3_4pp,14.31022988149638,pykA,Exp_ECC2,CYTBO3_4pp,500.3576881642091
56,EDA,0.16402041735866787,pykA,Exp_ECC2,EDA,5.73497962792545
