,ID,Value
0,vPTS,0.20040416428790764
1,vPGI,0.05850852770848083
2,vPGM,0.0023413039088059245
3,vG6PDH,0.13945755852089356
4,vPFK,0.1413753444021695
5,vTA,0.045332140585170565
6,vTKA,0.04533980974806299
7,vTKB,0.03842558632647086
8,vMURSyNTH,0.00043711
9,vALDO,0.1413677850972484
10,vGAPDH,0.3205293552027783
11,vTIS,0.13969741206835465
12,vTRPSYNTH,0.001037
13,vG3PDH,0.0016656904891159724
14,vPGK,0.3205291316999133
15,vsersynth,0.017506794641150614
16,vrpGluMu,0.30296302457904845
17,vENO,0.30295192171282154
18,vPK,0.03811781563135632
19,vpepCxylase,0.043232119407306195
20,vSynth1,0.014219681798551603
21,vSynth2,0.05356237356772859
22,vDAHPS,0.006903821911446868
23,vPDH,0.18818506209833363
24,vMethSynth,0.0022627
25,vPGDH,0.13943510442884835
26,vR5PI,0.0556627764530415
27,vRu5P,0.08376923952364745
28,vPPK,0.01031189039962553
29,vG1PAT,0.0023231616088347715
30,vG6P,9.677310374090667e-05
31,vf6P,1.6689877939171106e-05
32,vfdP,7.590196327843564e-06
33,vGAP,6.0723306212273355e-06
34,vDHAP,4.651674680978454e-06
35,vPGP,2.2267198801404945e-07
36,vPG3,5.931387736861663e-05
37,vpg2,1.1105664941049324e-05
38,vPEP,7.431579880605491e-05
39,vRibu5p,3.088448491479078e-06
40,vRIB5P,1.10745104259598e-05
41,vXYL5P,3.840034366413741e-06
42,vSED7P,7.673035338990261e-06
43,vpyr,7.424316142099674e-05
44,vPG,2.245405566415395e-05
45,vE4P,2.7285509407175224e-06
46,vGLP,1.8142266222178956e-05
47,vEXTER,0.2004041633499162
