,ID,Value
0,vPTS,0.19981016107310298
1,vPGI,0.0
2,vPGM,0.002123330054244825
3,vG6PDH,0.1975344116914417
4,vPFK,0.12281148501739288
5,vTA,0.06367236000495911
6,vTKA,0.06368013541645745
7,vTKB,0.0600282430291643
8,vMURSyNTH,0.00043711
9,vALDO,0.1228073092752754
10,vGAPDH,0.3054124204899604
11,vTIS,0.12153652170631116
12,vTRPSYNTH,0.001037
13,vG3PDH,0.001267384376103672
14,vPGK,0.3054122501403615
15,vsersynth,0.015943630359301925
16,vrpGluMu,0.2894232453950309
17,vENO,0.289414748946552
18,vPK,0.036931124992982116
19,vpepCxylase,0.035851249101073075
20,vSynth1,0.01312333852357029
21,vSynth2,0.05352428873502005
22,vDAHPS,0.003642008912102323
23,vPDH,0.18644264747383582
24,vMethSynth,0.0022627
25,vPGDH,0.19750231871046445
26,vR5PI,0.07378762836716332
27,vRu5P,0.12371176268330752
28,vPPK,0.010097478166948858
29,vG1PAT,0.002094631167431303
30,vG6P,0.00015241834002140825
31,vf6P,1.4897949564293997e-05
32,vfdP,4.175556508141105e-06
33,vGAP,4.4288845532947914e-06
34,vDHAP,3.4031817574560934e-06
35,vPGP,1.703478830548245e-07
36,vPG3,4.537380190294638e-05
37,vpg2,8.496339120248782e-06
38,vPEP,5.686561184033477e-05
39,vRibu5p,2.9276395918084755e-06
40,vRIB5P,1.001471593109214e-05
41,vXYL5P,3.3842213604934066e-06
42,vSED7P,7.775406537988165e-06
43,vpyr,7.404975811175586e-05
44,vPG,3.2092823786702993e-05
45,vE4P,2.108045722377142e-06
46,vGLP,2.8698723535355597e-05
47,vEXTER,0.19981017331576967
