,BiGG_ID,sample_id,author,flux,normalized_flux,relative_error
0,AKGDH,WT,ECC2,0.0,0.0,1000.0
1,AKGDH,WT,Ec_core,1.2058228666666673,42.16163869463872,39.9376348422208
2,AKGDH,WT,Exp_ECC2,1.619272627595324,58.66929810127986,0.5636711353683792
3,AKGDH,WT,Exp_iML1515,1.7405135199999988,61.03595401553442,3.3356634599604127
4,AKGDH,WT,Ishii,1.6874,59.0,0.0
5,AKGDH,WT,Khodayari,60.87813889715514,55.4228803478553,6.4542290651321705
6,AKGDH,WT,Kurata,165.72597843490624,12.855820931289443,358.93607506932096
7,AKGDH,WT,Millard,0.19025359518035276,47.56339879508172,24.044962081433262
8,AKGDH,WT,iML1515,0.8771057428461906,30.668032966650017,92.38273306983727
9,AKGDH,fbaB,ECC2,0.0,0.0,1000.0
10,AKGDH,fbaB,Ec_core,0.0,0.0,1000.0
11,AKGDH,fbaB,Exp_ECC2,1.6158851657274689,56.499481319142255,2.655809656697438
12,AKGDH,fbaB,Exp_iML1515,1.7405135199999988,60.85711608391605,4.694793752593142
13,AKGDH,fbaB,Ishii,1.6008,58.0,0.0
14,AKGDH,fbaB,Khodayari,58.835239599815736,58.73844938475079,1.2571822928347463
15,AKGDH,fbaB,Kurata,165.55047352592956,12.842674268006148,351.6193340236809
16,AKGDH,fbaB,Millard,1.6034168738015895e-09,0.00016074574040130638,1000.0
17,AKGDH,fbaB,iML1515,0.8771057428461969,30.668032966650248,89.12200878051657
18,AKGDH,fbp,ECC2,0.0,0.0,1000.0
19,AKGDH,fbp,Ec_core,1.2058228666666704,42.16163869463883,1.9884457324657359
20,AKGDH,fbp,Exp_ECC2,1.6192726275953238,56.61792404179454,24.05231960066565
21,AKGDH,fbp,Exp_iML1515,1.7405135199999764,60.85711608391527,29.34269192002505
22,AKGDH,fbp,Ishii,1.161,43.0,0.0
23,AKGDH,fbp,Khodayari,60.98408787432129,55.64829628887416,22.728991060599547
24,AKGDH,fbp,Kurata,165.7553377037599,12.858217197482366,234.41650066713277
25,AKGDH,fbp,Millard,0.19026412343088744,47.56603085767684,9.599352259050043
26,AKGDH,fbp,iML1515,0.8771057428461918,30.66803296665007,40.21114444072862
27,AKGDH,gnd,ECC2,0.22019175900000013,7.699012552447558,1000.0
28,AKGDH,gnd,Ec_core,1.5999146842105278,55.55259320175443,53.00815875741256
29,AKGDH,gnd,Exp_ECC2,1.6384726275953216,57.28925271312313,48.36988784901574
30,AKGDH,gnd,Exp_iML1515,1.7710171423805776,61.923676307015974,37.265752082567275
31,AKGDH,gnd,Ishii,2.4819999999999998,85.0,0.0
32,AKGDH,gnd,Khodayari,6.956403750637432,71.9780044147036,18.0916318689106
33,AKGDH,gnd,Kurata,0.0684840794888194,0.006875755742658083,1000.0
34,AKGDH,gnd,Millard,0.2155525020108174,53.888125502883135,57.73419321377639
35,AKGDH,gnd,iML1515,1.1522634067692292,40.03925485074486,112.29166306130377
36,AKGDH,gpmA,ECC2,0.0,0.0,1000.0
37,AKGDH,gpmA,Exp_ECC2,1.626212,56.860559440559435,12.556050502640502
38,AKGDH,gpmA,Exp_iML1515,1.7405135200000033,60.85711608391619,5.164365514379735
39,AKGDH,gpmA,Ishii,1.7280000000000002,64.0,0.0
40,AKGDH,gpmA,Kurata,-3.493376077182661e-16,-7.650336249739533e-17,1000.0
41,AKGDH,gpmB,Ishii,2.9637,89.0,0.0
42,AKGDH,pfkA,ECC2,0.0,0.0,1000.0
43,AKGDH,pfkA,Ec_core,0.0,0.0,1000.0
44,AKGDH,pfkA,Exp_ECC2,1.6158851657274689,56.499481319142255,13.275376172907519
45,AKGDH,pfkA,Exp_iML1515,1.7405135199998014,60.85711608390914,5.164365514391916
46,AKGDH,pfkA,Ishii,1.7408,64.0,0.0
47,AKGDH,pfkA,Khodayari,59.10925529082157,64.49129363123727,0.7617983817265286
48,AKGDH,pfkA,Kurata,24.6907852435105,1.6500195989098805,1000.0
49,AKGDH,pfkA,Millard,9.568325837763872e-11,9.592437539708578e-06,1000.0
50,AKGDH,pfkA,iML1515,0.8771057428461897,30.66803296664999,108.68635451643385
51,AKGDH,pfkB,ECC2,0.0,0.0,1000.0
52,AKGDH,pfkB,Ec_core,0.0,0.0,1000.0
53,AKGDH,pfkB,Exp_ECC2,1.6158851657274689,56.499481319142255,23.893106633827763
54,AKGDH,pfkB,Exp_iML1515,1.7405135199998014,60.85711608390914,29.342691920017934
55,AKGDH,pfkB,Ishii,1.2212,43.0,0.0
56,AKGDH,pfkB,Khodayari,59.10925529082157,64.49129363123727,33.32433328772251
57,AKGDH,pfkB,Kurata,24.6907852435105,1.6500195989098805,1000.0
58,AKGDH,pfkB,Millard,9.568325837763872e-11,9.592437539708578e-06,1000.0
59,AKGDH,pfkB,iML1515,0.8771057428461897,30.66803296664999,40.211144440728994
60,AKGDH,pgi,ECC2,0.0,0.0,1000.0
61,AKGDH,pgi,Ec_core,0.7363918235294057,25.569160539215478,29.061726329997526
62,AKGDH,pgi,Exp_ECC2,0.8041812137518689,28.118224257058355,17.361607540761405
63,AKGDH,pgi,Exp_iML1515,1.7405135199999988,59.340084512642356,44.3883501834761
64,AKGDH,pgi,Ishii,0.9009,33.0,0.0
65,AKGDH,pgi,Khodayari,2.658981975561722,40.72752661863796,18.97371939866745
66,AKGDH,pgi,Kurata,25.394710881915586,1.2762650281082533,1000.0
67,AKGDH,pgi,Millard,0.1822170018029516,88.73699748446788,62.811453017918296
68,AKGDH,pgi,iML1515,0.8771057428461906,29.83294723343812,10.615956719864755
