,ID,Value
0,PGI,0.32835743424463104
1,PFK,0.3293483031313731
2,FBA,0.32915478614192883
3,TPI,0.32915478614192833
4,GDH,0.6734727141599736
5,PGK,0.6734727141614761
6,GPM,0.623418085628487
7,ENO,0.6234180856289518
8,PYK,0.1788709642341208
9,ZWF,0.06477116112680024
10,PGL,0.06477112028571813
11,GND,0.040825076947505964
12,RPE,0.003166801770382805
13,RPI,0.03765827517649836
14,X5P_GAP_TKT,0.003166801769500932
15,F6P_E4P_TKT,-0.004458696287475112
16,S7P_R5P_TKT,0.007625498056672003
17,F6P_GAP_TAL,0.007625498056363696
18,S7P_E4P_TAL,0.007625498056580775
19,FBP,0.00019351698932897255
20,PPC,0.09415201966071102
21,PCK,0.066937830882851
22,PPS,2.3287689478700393e-05
23,MAD,0.018607838837019837
24,PDH,0.5265643684590613
25,GLT,0.3137440755818657
26,ACN_1,0.3137440755830772
27,ACN_2,0.3137440755835105
28,ICD,0.2263877057428066
29,LPD,0.19025359520496224
30,SK,0.1902535952235495
31,SDH,0.27760996504813584
32,FUMA,0.2776099650485336
33,MQO,3.046413763217196
34,MDH,2.700055267161551
35,ACEA,0.08735636984217159
36,ACEB,0.08735636984216183
37,ACEK_1,0.0017074982723487401
38,ACEK_2,0.0017074982723494193
39,EDD,0.02394608417863692
40,EDA,0.023946084178434798
41,NADH_req,0.5199217947704902
42,PNT_req,-0.2703894497280709
43,ADK,0.03483760103540929
44,ATP_syn,2.3703355311570284
45,CYA,0.007420738106707311
46,DOS,0.007420738099453397
47,ACK,0.027395127592674488
48,ACS,0.027393575245752366
49,PTA,0.027395127592707683
50,PTS_0,0.4000000000006052
51,PTS_1,0.3999999999999839
52,PTS_2,0.39999999999998526
53,PTS_3,0.3999999999999886
54,PTS_4,0.39999999999998864
55,GLC_feed,0.4
56,CYTBO,0.9405934832960138
57,SQR_,0.2776099650482847
58,NDHII,0.7372967107175733
59,GROWTH,5.923624678387775e-05
60,ATP_MAINTENANCE,1.1654796811057233
61,XCH_GLC,0.39999999999998853
62,PIT,0.12309292082532296
63,XCH_P,0.12309292082534194
64,XCH_ACE1,1.552346915410228e-06
65,_ACE_OUT,1.5523469260625865e-06
66,XCH_ACE2,1.552346915433711e-06
67,GL6P_HYDROLYSIS,4.084107441506268e-08
