,ID,Value
0,PGI,0.0
1,PFK,0.06939347804366161
2,FBA,0.06935612222891789
3,TPI,0.06935581363486075
4,GDH,0.23682728323426258
5,PGK,0.23682742104153506
6,GPM,0.23630911067192673
7,ENO,0.2363090904223008
8,PYK,0.14222089780120697
9,ZWF,0.1680322784960173
10,PGL,0.1680145386648293
11,GND,0.10444752224690207
12,RPE,0.06938239052659655
13,RPI,0.03506456136908675
14,X5P_GAP_TKT,0.06938158649242147
15,F6P_E4P_TKT,0.03462801365643781
16,S7P_R5P_TKT,0.034753551520462445
17,F6P_GAP_TAL,0.03475318734696889
18,S7P_E4P_TAL,0.03475320745438976
19,FBP,3.7132308757804124e-05
20,PPC,0.016647353277816305
21,PCK,0.1275927816657259
22,PPS,7.698528740334085e-06
23,MAD,0.0016048745169891857
24,PDH,0.41123001668911036
25,GLT,0.2962948361336992
26,ACN_1,0.29626431093559275
27,ACN_2,0.296253412679498
28,ICD,0.1825926231612854
29,LPD,0.18221676453953453
30,SK,0.1822192671191547
31,SDH,0.2958379427528774
32,FUMA,0.29583811470113475
33,MQO,2.2930878569446826
34,MDH,1.8852285175081664
35,ACEA,0.1136251210802807
36,ACEB,0.11362520423927686
37,ACEK_1,0.0017125827709727997
38,ACEK_2,0.0017125826662041676
39,EDD,0.06354037621364932
40,EDA,0.06353180138346833
41,NADH_req,0.5276945845510043
42,PNT_req,0.4488377246713151
43,ADK,0.03265222726208307
44,ATP_syn,2.503789490015463
45,CYA,0.004239842935519788
46,DOS,0.004239022124628491
47,ACK,0.028407102520156328
48,ACS,0.028405414368731473
49,PTA,0.028409329942853844
50,PTS_0,0.2048616437280679
51,PTS_1,0.2048616440443603
52,PTS_2,0.20486164851245547
53,PTS_3,0.20486146048688564
54,PTS_4,0.20486146046660683
55,GLC_feed,0.4
56,CYTBO,0.9928202626957451
57,SQR_,0.29583729594798525
58,NDHII,0.7542498377467709
59,GROWTH,6.130701093246793e-07
60,ATP_MAINTENANCE,2.8107517879043162
61,XCH_GLC,0.2053460584775627
62,PIT,0.03818289568993158
63,XCH_P,0.03818288352242854
64,XCH_ACE1,1.6826542206038097e-06
65,_ACE_OUT,1.5924932734901378e-06
66,XCH_ACE2,1.6824296468828698e-06
67,GL6P_HYDROLYSIS,1.0520855369368003e-05
