,ID,Value
0,vPTS,0.0010164471909133864
1,vPGI,0.0008350004611987641
2,vPGM,4.86675026622006e-05
3,vG6PDH,0.00013262717886446658
4,vPFK,3.284828697793521e-07
5,vTA,1.977644313380281e-05
6,vTKA,-1.2120042031326137e-05
7,vTKB,1.9797887583131508e-05
8,vMURSyNTH,0.00043711
9,vALDO,0.0
10,vGAPDH,0.0010248937119636996
11,vTIS,-7.664284936714641e-09
12,vTRPSYNTH,0.001037
13,vG3PDH,7.645466975324425e-09
14,vPGK,0.0010248937101504903
15,vsersynth,1.0380012881036249e-07
16,vrpGluMu,0.0010247898308523502
17,vENO,0.0010247898283552068
18,vPK,1.4858109294736966e-08
19,vpepCxylase,8.325122680581801e-06
20,vSynth1,2.120529786397004e-09
21,vSynth2,0.004314158125112036
22,vDAHPS,9.641824421697401e-22
23,vPDH,1.9088572944851848e-07
24,vMethSynth,0.0022627
25,vPGDH,0.00013258401654123005
26,vR5PI,0.00012486997536386465
27,vRu5P,7.698940345994508e-06
28,vPPK,0.00013693572827822514
29,vG1PAT,4.8637906144584825e-05
30,vG6P,7.413018911443206e-08
31,vf6P,1.2769505494710707e-08
32,vfdP,0.0001294618789986142
33,vGAP,2.5435954204924273e-11
34,vDHAP,1.8290560448898936e-11
35,vPGP,1.892027437639834e-12
36,vPG3,1.1222943457562004e-10
37,vpg2,9.0697227513895e-12
38,vPEP,3.017085054593097e-12
39,vRibu5p,8.173898761985411e-09
40,vRIB5P,2.98257399257752e-08
41,vXYL5P,1.1398994481693356e-08
42,vSED7P,6.268629454590083e-05
43,vpyr,1.7305338331635843e-06
44,vPG,2.090103242933228e-08
45,vE4P,1.5509995805544065e-08
46,vGLP,1.4188620433907973e-08
47,vEXTER,0.19163069124312546
